term_id	term_name	methods_included	methods_significant	methods_list	min_p_value	clusterprofiler_go_cc_all_p_value	clusterprofiler_go_cc_all_adj_p_value	clusterprofiler_go_cc_all_q_value	clusterprofiler_go_cc_all_significant	clusterprofiler_go_bp_all_p_value	clusterprofiler_go_bp_all_adj_p_value	clusterprofiler_go_bp_all_q_value	clusterprofiler_go_bp_all_significant	clusterprofiler_go_bp_up_p_value	clusterprofiler_go_bp_up_adj_p_value	clusterprofiler_go_bp_up_q_value	clusterprofiler_go_bp_up_significant	clusterprofiler_go_mf_all_p_value	clusterprofiler_go_mf_all_adj_p_value	clusterprofiler_go_mf_all_q_value	clusterprofiler_go_mf_all_significant	clusterprofiler_kegg_trimmed_250_p_value	clusterprofiler_kegg_trimmed_250_adj_p_value	clusterprofiler_kegg_trimmed_250_q_value	clusterprofiler_kegg_trimmed_250_significant	topgo_topgo_bp_p_value	topgo_topgo_bp_adj_p_value	topgo_topgo_bp_q_value	topgo_topgo_bp_significant	topgo_topgo_bp_taylortillander_p_value	topgo_topgo_bp_taylortillander_adj_p_value	topgo_topgo_bp_taylortillander_q_value	topgo_topgo_bp_taylortillander_significant	topgo_topgo_bp_top10_p_value	topgo_topgo_bp_top10_adj_p_value	topgo_topgo_bp_top10_q_value	topgo_topgo_bp_top10_significant	gss_gss_validated_signatures_trimmed_100_p_value	gss_gss_validated_signatures_trimmed_100_adj_p_value	gss_gss_validated_signatures_trimmed_100_q_value	gss_gss_validated_signatures_trimmed_100_significant	gss_gss_validated_signatures_trimmed_200_p_value	gss_gss_validated_signatures_trimmed_200_adj_p_value	gss_gss_validated_signatures_trimmed_200_q_value	gss_gss_validated_signatures_trimmed_200_significant	gss_gss_validated_signatures_trimmed_25_p_value	gss_gss_validated_signatures_trimmed_25_adj_p_value	gss_gss_validated_signatures_trimmed_25_q_value	gss_gss_validated_signatures_trimmed_25_significant	gss_gss_validated_signatures_trimmed_250_p_value	gss_gss_validated_signatures_trimmed_250_adj_p_value	gss_gss_validated_signatures_trimmed_250_q_value	gss_gss_validated_signatures_trimmed_250_significant
GO:0030048	actin filament-based movement	3	3	clusterProfiler: GO_BP_Up; topGO: topGO_BP; topGO: topGO_BP_top10	4.395995978890865e-5	NA	NA	NA	NA	NA	NA	NA	NA	4.395995978890865e-5	0.017034576488095043	0.012240659384620087	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00283	NA	NA	1	NA	NA	NA	NA	0.00283	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010562	positive regulation of phosphorus metabolic process	2	2	clusterProfiler: GO_BP_All; clusterProfiler: GO_BP_Up	2.7794591682788068e-6	NA	NA	NA	NA	2.7794591682788068e-6	0.002304171650503131	0.0018563861497609506	1	5.833759071265426e-5	0.017034576488095043	0.012240659384620087	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0045937	positive regulation of phosphate metabolic process	2	2	clusterProfiler: GO_BP_All; clusterProfiler: GO_BP_Up	2.7794591682788068e-6	NA	NA	NA	NA	2.7794591682788068e-6	0.002304171650503131	0.0018563861497609506	1	5.833759071265426e-5	0.017034576488095043	0.012240659384620087	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0001934	positive regulation of protein phosphorylation	2	2	clusterProfiler: GO_BP_All; clusterProfiler: GO_BP_Up	4.282277840174694e-5	NA	NA	NA	NA	4.282277840174694e-5	0.02299321505096175	0.01852478566419304	1	2.732025136911843e-4	0.04064931696854243	0.02920967501464597	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042327	positive regulation of phosphorylation	2	2	clusterProfiler: GO_BP_All; clusterProfiler: GO_BP_Up	6.263625813617345e-5	NA	NA	NA	NA	6.263625813617345e-5	0.02299321505096175	0.01852478566419304	1	3.5045757123155325e-4	0.04064931696854243	0.02920967501464597	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033674	positive regulation of kinase activity	2	2	clusterProfiler: GO_BP_All; topGO: topGO_BP	6.934021426707402e-5	NA	NA	NA	NA	6.934021426707402e-5	0.02299321505096175	0.01852478566419304	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04194	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071346	cellular response to type II interferon	2	2	topGO: topGO_BP; topGO: topGO_BP_TaylorTillander	1.4e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04826	NA	NA	1	1.4e-4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032815	negative regulation of natural killer ce...	2	2	topGO: topGO_BP; topGO: topGO_BP_top10	5.5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5e-4	NA	NA	1	NA	NA	NA	NA	5.5e-4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071803	positive regulation of podosome assembly	2	2	topGO: topGO_BP; topGO: topGO_BP_top10	5.5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5e-4	NA	NA	1	NA	NA	NA	NA	5.5e-4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0098974	postsynaptic actin cytoskeleton organiza...	2	2	topGO: topGO_BP; topGO: topGO_BP_top10	0.00126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00126	NA	NA	1	NA	NA	NA	NA	0.00126	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
